"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"16 years and over"	"16+"	1104
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	566
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Excluded"	"999"	2104
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"0 -  8 years"	"19176"	2820
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"9 - 11 years"	"19177"	3858
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"12 years"	"19178"	14353
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"13 - 15 years"	"19179"	14827
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"16 years and over"	"16+"	19927
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	707
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Excluded"	"999"	3469
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1810
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"9 - 11 years"	"19177"	3945
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"12 years"	"19178"	7965
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"13 - 15 years"	"19179"	4509
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"16 years and over"	"16+"	1623
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	369
